Id,Sepal Length Cm,Sepal Width (Cm),Petal-Length-Cm,Petal-WIDTH(Cm),SPECIES,unit
1,??,3.5,1.4,0.2,Iris-setosa,cm
2,very_long,3.0,1.4,0.2,Iris-setosa,cm
3,nan,3.2,1.3,0.2,Iris-setosa,cm
4,4.6,3.1,1.5,0.2,Iris-setosa,cm
5,5.0,3.6,1.4,0.2,Iris-setosa,cm
6,5.4,3.9,1.7,0.4,setsoa,cm
7,4.6,3.4,1.4,0.3,Iris-setosa,cm
8,5.0,3.4,1.5,0.2,Iris-setosa,cm
9,4.4,2.9,,0.2,Iris-setosa,cm
10,4.9,3.1,1.5,0.1,Iris-setosa,cm
11,5.4,3.7,1.5,0.2,unknown,cm
12,4.8,3.4,1.6,0.2,Iris-setosa,cm
13,4.8,3.0,1.4,0.1,Iris-setosa,cm
14,4.3,3.0,,0.1,Iris-setosa,cm
15,5.8,4.0,1.2,0.2,Iris-setosa,cm
16,5.7,4.4,1.5,0.4,Iris-setosa,cm
17,5.4,3.9,1.3,0.4,Iris-setosa,cm
18,5.1,3.5,1.4,0.3,Iris-setosa,cm
19,5.7,3.8,1.7,0.3,Iris-setosa,cm
20,5.1,3.8,1.5,0.3,Iris-setosa,cm
21,5.4,3.4,1.7,2.0,Iris-setosa,cm
22,5.1,3.7,1.5,0.4,Iris-setosa,cm
23,4.6,3.6,1.0,0.2,Iris-setosa,cm
24,5.1,3.3,1.7,0.5,Iris-setosa,cm
25,4.8,3.4,1.9,0.2,Iris-setosa,cm
26,5.0,3.0,,0.2,Iris-setosa,cm
27,5.0,3.4,1.6,0.4,Iris-setosa,cm
28,5.2,3.5,1.5,0.2,Iris-setosa,cm
29,5.2,3.4,1.4,0.2,Iris-setosa,cm
30,4.7,3.2,1.6,0.2,Iris-setosa,cm
31,4.8,3.1,1.6,0.2,Iris-setosa,cm
32,5.4,3.4,1.5,0.4,Iris-setosa,cm
33,5.2,4.1,1.5,0.1,Iris-setosa,cm
34,5.5,4.2,1.4,0.2,Iris-setosa,cm
35,nan,3.1,1.5,0.1,Iris-setosa,cm
36,5.0,3.2,1.2,0.2,Iris-setosa,cm
37,5.5,3.5,1.3,0.2,Iris-setosa,cm
38,nan,3.1,1.5,0.1,Iris-setosa,cm
39,4.4,3.0,1.3,0.2,Iris-setosa,cm
40,5.1,3.4,1.5,0.2,Iris-setosa,cm
41,5.0,3.5,1.3,0.3,Iris-setosa,cm
42,4.5,2.3,1.3,0.3,Iris-setosa,cm
43,nan,3.2,,0.2,Iris-setosa,cm
44,5.0,3.5,1.6,0.6,Iris-setosa,cm
45,5.1,3.8,1.9,0.4,Iris-setosa,cm
46,4.8,3.0,1.4,0.3,Iris-setosa,cm
47,5.1,3.8,1.6,0.2,Iris-setosa,cm
48,4.6,3.2,1.4,0.2,Iris-setosa,cm
49,5.3,3.7,,0.2,Iris-setosa,cm
50,5.0,3.3,1.4,0.2,Iris-setosa,cm
51,7.0,3.2,4.7,1.4,Iris-versicolor,cm
52,6.4,3.2,4.5,1.5,Iris-versicolor,cm
53,6.9,3.1,4.9,1.5,Iris-versicolor,cm
54,5.5,2.3,4.0,1.3,Iris-versicolor,cm
55,nan,2.8,4.6,1.5,Iris-versicolor,cm
56,5.7,2.8,4.5,1.3,Iris-versicolor,cm
57,6.3,3.3,4.7,1.6,Iris-versicolor,cm
58,4.9,2.4,3.3,1.0,Iris-versicolor,cm
59,6.6,2.9,4.6,1.3,Iris-versicolor,cm
60,5.2,2.7,3.9,1.4,Iris-versicolor,cm
61,5.0,2.0,3.5,1.0,Iris-versicolor,cm
62,nan,3.0,4.2,1.5,Iris-versicolor,cm
63,nan,2.2,4.0,1.0,Iris-versicolor,cm
64,6.1,2.9,4.7,1.4,Iris-versicolor,cm
65,5.6,2.9,3.6,1.3,Iris-versicolor,cm
66,6.7,3.1,4.4,1.4,Iris-versicolor,cm
67,5.6,3.0,4.5,1.5,Iris-versicolor,cm
68,5.8,2.7,,1.0,Iris-versicolor,cm
69,6.2,2.2,4.5,1.5,Iris-versicolor,cm
70,5.6,2.5,,1.1,Iris-versicolor,cm
71,5.9,3.2,4.8,1.8,Iris-versicolor,cm
72,6.1,2.8,4.0,1.3,Iris-versicolor,cm
73,6.3,2.5,4.9,1.5,Iris-versicolor,cm
74,6.1,2.8,4.7,1.2,Iris-versicolor,cm
75,6.4,2.9,,1.3,Iris-versicolor,cm
76,6.6,3.0,4.4,1.4,Iris-versicolor,cm
77,6.8,2.8,4.8,1.4,Iris-versicolor,cm
78,6.7,3.0,5.0,1.7,Iris-versicolor,cm
79,6.0,2.9,4.5,1.5,Iris-versicolor,cm
80,5.7,2.6,3.5,1.0,Iris-versicolor,cm
81,5.5,2.4,3.8,1.1,Iris-versicolor,cm
82,5.5,2.4,,1.0,Iris-versicolor,cm
83,5.8,2.7,3.9,1.2,Iris-versicolor,cm
84,6.0,2.7,5.1,1.6,Iris-versicolor,cm
85,5.4,3.0,4.5,1.5,Iris-versicolor,cm
86,6.0,3.4,4.5,1.6,Iris-versicolor,cm
87,6.7,3.1,4.7,1.5,Iris-versicolor,cm
88,6.3,2.3,,1.3,Iris-versicolor,cm
89,5.6,3.0,4.1,1.3,Iris-versicolor,cm
90,5.5,2.5,4.0,13.0,Iris-versicolor,cm
91,5.5,2.6,4.4,1.2,Iris-versicolor,cm
92,6.1,3.0,4.6,1.4,Iris-versicolor,cm
93,5.8,2.6,4.0,1.2,Iris-versicolor,cm
94,5.0,2.3,,1.0,Iris-versicolor,cm
95,5.6,2.7,4.2,1.3,Iris-versicolor,cm
96,5.7,3.0,4.2,1.2,Iris-versicolor,cm
97,5.7,2.9,4.2,1.3,Iris-versicolor,cm
98,6.2,2.9,4.3,1.3,Iris-versicolor,cm
99,5.1,2.5,3.0,1.1,Iris-versicolor,cm
100,5.7,2.8,4.1,1.3,Iris-versicolor,cm
101,6.3,3.3,6.0,2.5,Iris-virginica,cm
102,5.8,2.7,5.1,1.9,Iris-virginica,cm
103,nan,3.0,5.9,2.1,Iris-virginica,cm
104,6.3,2.9,5.6,1.8,Iris-virginica,cm
105,6.5,3.0,5.8,2.2,Iris-virginica,cm
106,7.6,3.0,6.6,2.1,Iris-virginica,cm
107,4.9,2.5,4.5,1.7,Iris-virginica,cm
108,7.3,2.9,6.3,1.8,Iris-virginica,cm
109,6.7,2.5,5.8,1.8,Iris-virginica,cm
110,7.2,3.6,6.1,25.0,Iris-virginica,cm
111,6.5,3.2,5.1,2.0,Iris-virginica,cm
112,6.4,2.7,5.3,1.9,Iris-virginica,cm
113,6.8,3.0,5.5,2.1,Iris-virginica,cm
114,nan,2.5,5.0,2.0,Iris-virginica,cm
115,5.8,2.8,5.1,24.0,Iris-virginica,cm
116,6.4,3.2,5.3,2.3,Iris-virginica,cm
117,6.5,3.0,5.5,1.8,Iris-virginica,cm
118,7.7,3.8,6.7,2.2,Iris-virginica,cm
119,7.7,2.6,6.9,2.3,Iris-virginica,cm
120,nan,2.2,5.0,1.5,Iris-virginica,cm
121,6.9,3.2,5.7,2.3,Iris-virginica,cm
122,5.6,2.8,4.9,2.0,Iris-virginica,cm
123,7.7,2.8,6.7,2.0,Iris-virginica,cm
124,6.3,2.7,4.9,18.0,Iris-virginica,cm
125,6.7,3.3,5.7,2.1,Iris-virginica,cm
126,7.2,3.2,6.0,1.8,Iris-virginica,cm
127,6.2,2.8,4.8,1.8,Iris-virginica,cm
128,6.1,3.0,4.9,1.8,Iris-virginica,cm
129,6.4,2.8,5.6,2.1,Iris-virginica,cm
130,nan,3.0,5.8,1.6,Iris-virginica,cm
131,7.4,2.8,6.1,1.9,Iris-virginica,cm
132,7.9,3.8,6.4,2.0,Iris-virginica,cm
133,6.4,2.8,5.6,2.2,Iris-virginica,cm
134,6.3,2.8,5.1,1.5,Iris-virginica,cm
135,6.1,2.6,,1.4,Iris-virginica,cm
136,nan,3.0,6.1,2.3,Iris-virginica,cm
137,nan,3.4,5.6,2.4,Iris-virginica,cm
138,6.4,3.1,5.5,1.8,Iris-virginica,cm
139,6.0,3.0,4.8,1.8,Iris-virginica,cm
140,6.9,3.1,5.4,2.1,Iris-virginica,cm
141,nan,3.1,5.6,2.4,Iris-virginica,cm
142,6.9,3.1,5.1,2.3,Iris-virginica,cm
143,5.8,2.7,5.1,1.9,Iris-virginica,cm
144,nan,3.2,5.9,2.3,Iris-virginica,cm
145,6.7,3.3,5.7,2.5,Iris-virginica,cm
146,6.7,3.0,,2.3,Iris-virginica,cm
147,6.3,2.5,,1.9,Iris-virginica,cm
148,6.5,3.0,5.2,2.0,Iris-virginica,cm
149,6.2,3.4,5.4,2.3,Iris-virginica,cm
150,5.9,3.0,5.1,1.8,Iris-virginica,cm
15,5.8,4.0,1.2,0.2,Iris-setosa,cm
99,5.1,2.5,3.0,1.1,Iris-versicolor,cm
76,6.6,3.0,4.4,1.4,Iris-versicolor,cm
17,5.4,3.9,1.3,0.4,Iris-setosa,cm
132,7.9,3.8,6.4,2.0,Iris-virginica,cm
57,6.3,3.3,4.7,1.6,Iris-versicolor,cm
142,6.9,3.1,5.1,2.3,Iris-virginica,cm
45,5.1,3.8,1.9,0.4,Iris-setosa,cm
30,4.7,3.2,1.6,0.2,Iris-setosa,cm
121,6.9,3.2,5.7,2.3,Iris-virginica,cm
106,7.6,3.0,6.6,2.1,virginica ,cm
109,6.7,2.5,5.8,1.8,virginica ,cm
142,6.9,3.1,5.1,2.3,virginica ,cm
56,5.7,2.8,4.5,1.3,versi color,cm
95,5.6,2.7,4.2,1.3,versi color,cm
30,4.7,3.2,1.6,0.2,Iris-setosa,cm
102,5.8,2.7,5.1,1.9,virginica ,cm
52,6.4,3.2,4.5,1.5,versi color,cm
101,6.3,3.3,6.0,2.5,virginica ,cm
143,5.8,2.7,5.1,1.9,virginica ,cm
20,5.1,3.8,1.5,0.3,Iris-setosa,cm
85,5.4,3.0,4.5,1.5,versi color,cm
16,5.7,4.4,1.5,0.4,Iris-setosa,cm
67,5.6,3.0,4.5,1.5,versi color,cm
25,4.8,3.4,1.9,0.2,Iris-setosa,cm
149,62.0,34.0,54.0,23.0,Iris-virginica,mm
109,67.0,25.0,58.0,18.0,virginica ,mm
57,63.0,33.0,47.0,16.0,Iris-versicolor,mm
108,73.0,29.0,63.0,18.0,Iris-virginica,mm
